ID Cliente,Edad,Genero,Producto Comprado,Categoria,Valor de Compra,Ciudad,Talla,Estacion,Calificacion,Suscripcion Activa,Tipo de Envio,Compras Previas,Metodo de Pago,Frecuencia de Compras
5000,43,Masculino,Hoodie,Ropa,31,Cucuta,S,Otono,3.0,Si,Entrega al dia siguiente,80,Tarjeta de debito,Semanal
5001,44,Femenino,Hat,Accesorios,30,Cucuta,L,Invierno,4.3,No,Recogida en tienda,54,Transferencia bancaria,Quincenal
5002,62,Masculino,Shirt,Ropa,28,Bucaramanga,L,Otono,3.6,Si,Envio en 2 dias,82,Tarjeta de credito,Semanal
5003,46,Femenino,Backpack,Accesorios,71,Barranquilla,XXL,Otono,3.3,Si,Envio en 2 dias,20,Tarjeta de credito,Trimestral
5004,63,Femenino,Skirt,Ropa,107,Pereira,M,Invierno,3.7,Si,Envio gratuito,22,Nequi,Cada 3 meses
5005,69,Masculino,Gloves,Accesorios,30,Pereira,M,Verano,3.5,No,Envio estandar,28,Transferencia bancaria,Anualmente
5006,53,Femenino,Blouse,Ropa,79,Barranquilla,M,Verano,2.6,No,Envio estandar,33,Tarjeta de credito,Anualmente
5007,41,Femenino,Shorts,Ropa,35,Bogota,XXL,Invierno,4.4,No,Recogida en tienda,63,Transferencia bancaria,Quincenal
5008,63,Femenino,Gloves,Accesorios,120,Cartagena,M,Invierno,3.5,No,Express,76,Tarjeta de credito,Cada 3 meses
5009,64,Femenino,Pants,Ropa,43,Pereira,S,Primavera,3.2,No,Express,79,Efectivo,Quincenal
5010,41,Masculino,Blouse,Ropa,21,Santa Marta,S,Otono,4.9,No,Recogida en tienda,27,Efectivo,Semanal
5011,45,Masculino,Blouse,Ropa,32,Manizales,XS,Primavera,3.3,Si,Entrega al dia siguiente,45,Nequi,Semanal
5012,69,Femenino,Backpack,Accesorios,52,Manizales,XL,Invierno,3.3,No,Recogida en tienda,47,Tarjeta de credito,Trimestral
5013,20,Femenino,Hat,Accesorios,41,Manizales,L,Otono,4.7,Si,Envio en 2 dias,40,Nequi,Mensual
5014,27,Masculino,Boots,Calzado,60,Bogota,S,Invierno,4.7,No,Recogida en tienda,46,Efectivo,Cada 3 meses
5015,75,Masculino,Skirt,Ropa,117,Cartagena,XL,Otono,3.6,Si,Envio gratuito,94,Efectivo,Quincenal
5016,53,Masculino,Belt,Accesorios,44,Cali,XS,Verano,3.0,No,Envio gratuito,20,Efectivo,Mensual
5017,25,Masculino,Belt,Accesorios,76,Bucaramanga,XXL,Invierno,3.6,Si,Recogida en tienda,18,Transferencia bancaria,Cada 3 meses
5018,23,Femenino,Hoodie,Ropa,43,Cucuta,S,Otono,3.9,Si,Envio estandar,0,Nequi,Trimestral
5019,29,Masculino,Blouse,Ropa,51,Neiva,L,Primavera,4.7,Si,Envio gratuito,87,Transferencia bancaria,Mensual
5020,41,Femenino,Jacket,Abrigos,39,Bogota,XS,Invierno,4.6,No,Entrega al dia siguiente,80,Tarjeta de debito,Trimestral
5021,60,Femenino,Jacket,Abrigos,25,Villavicencio,XL,Invierno,3.3,Si,Express,6,Tarjeta de debito,Cada 3 meses
5022,69,Femenino,Sweater,Ropa,29,Manizales,XL,Invierno,2.7,No,Express,30,Efectivo,Anualmente
5023,19,Femenino,Dress,Ropa,69,Neiva,L,Otono,4.1,Si,Envio en 2 dias,38,Efectivo,Mensual
5024,65,Masculino,Socks,Accesorios,97,Cali,M,Primavera,4.6,Si,Entrega al dia siguiente,57,Efectivo,Mensual
5025,35,Masculino,Blouse,Ropa,116,Pereira,M,Verano,3.6,No,Envio en 2 dias,5,Nequi,Cada 3 meses
5026,47,Femenino,Sneakers,Calzado,107,Armenia,S,Invierno,3.8,Si,Envio gratuito,59,Efectivo,Anualmente
5027,69,Masculino,Hoodie,Ropa,39,Cali,XXL,Otono,4.6,No,Envio gratuito,72,Transferencia bancaria,Trimestral
5028,22,Femenino,Shirt,Ropa,33,Manizales,L,Invierno,2.7,No,Envio gratuito,32,Nequi,Anualmente
5029,67,Femenino,Boots,Calzado,114,Villavicencio,L,Verano,4.5,No,Envio en 2 dias,10,Efectivo,Semanal
5030,37,Masculino,Shorts,Ropa,112,Santa Marta,XXL,Invierno,4.1,No,Envio gratuito,23,Tarjeta de credito,Quincenal
5031,23,Masculino,Socks,Accesorios,33,Pereira,XL,Primavera,2.5,Si,Envio en 2 dias,21,Efectivo,Mensual
5032,62,Masculino,Socks,Accesorios,115,Ibague,XXL,Invierno,3.3,No,Recogida en tienda,86,Efectivo,Cada 3 meses
5033,23,Femenino,Coat,Abrigos,21,Barranquilla,XS,Primavera,4.2,Si,Envio en 2 dias,26,Efectivo,Semanal
5034,27,Femenino,Pants,Ropa,100,Cucuta,XL,Verano,2.7,No,Express,60,Efectivo,Anualmente
5035,25,Femenino,Coat,Abrigos,114,Armenia,L,Invierno,3.7,No,Envio estandar,31,Tarjeta de credito,Cada 3 meses
5036,54,Masculino,Belt,Accesorios,62,Bogota,XS,Invierno,4.9,No,Recogida en tienda,74,Nequi,Semanal
5037,53,Masculino,Belt,Accesorios,82,Pereira,L,Invierno,3.1,Si,Envio estandar,2,Efectivo,Trimestral
5038,38,Femenino,Hat,Accesorios,102,Pereira,L,Primavera,3.7,No,Entrega al dia siguiente,89,Efectivo,Anualmente
5039,28,Masculino,Sweater,Ropa,44,Santa Marta,M,Invierno,3.1,Si,Envio estandar,87,Tarjeta de debito,Trimestral
5040,72,Masculino,Coat,Abrigos,57,Armenia,XXL,Invierno,4.9,No,Entrega al dia siguiente,20,Nequi,Quincenal
5041,36,Femenino,Socks,Accesorios,81,Cali,S,Verano,2.9,No,Envio en 2 dias,53,Efectivo,Cada 3 meses
5042,33,Femenino,Shoes,Calzado,26,Bogota,M,Otono,3.4,Si,Express,64,Transferencia bancaria,Anualmente
5043,39,Masculino,Boots,Calzado,99,Barranquilla,XS,Verano,3.7,No,Envio gratuito,98,Transferencia bancaria,Trimestral
5044,35,Femenino,Sunglasses,Accesorios,85,Ibague,XXL,Primavera,4.3,No,Entrega al dia siguiente,96,Transferencia bancaria,Anualmente
5045,68,Femenino,Shoes,Calzado,25,Manizales,XS,Verano,4.1,Si,Envio gratuito,20,Tarjeta de debito,Semanal
5046,46,Masculino,Sweater,Ropa,32,Cali,XXL,Otono,3.3,Si,Envio en 2 dias,25,Efectivo,Mensual
5047,67,Femenino,Handbag,Accesorios,80,Bucaramanga,M,Verano,2.7,No,Recogida en tienda,96,Efectivo,Cada 3 meses
5048,58,Femenino,Coat,Abrigos,116,Neiva,XL,Invierno,4.5,Si,Entrega al dia siguiente,52,Efectivo,Mensual
5049,72,Masculino,Backpack,Accesorios,76,Cali,XS,Primavera,2.7,No,Entrega al dia siguiente,98,Tarjeta de credito,Mensual
5050,21,Masculino,T-shirt,Ropa,24,Villavicencio,XXL,Verano,4.8,Si,Recogida en tienda,91,Nequi,Cada 3 meses
5051,44,Masculino,Socks,Accesorios,109,Manizales,M,Otono,4.8,Si,Envio gratuito,67,Nequi,Quincenal
5052,62,Masculino,Sandals,Calzado,102,Barranquilla,XL,Invierno,4.2,No,Express,38,Transferencia bancaria,Anualmente
5053,52,Masculino,Jewelry,Accesorios,112,Armenia,XXL,Verano,3.8,No,Express,11,Nequi,Trimestral
5054,37,Masculino,T-shirt,Ropa,101,Cali,XS,Primavera,4.7,No,Express,99,Tarjeta de debito,Semanal
5055,45,Femenino,Sweater,Ropa,27,Cucuta,M,Otono,4.1,No,Envio en 2 dias,6,Transferencia bancaria,Mensual
5056,37,Femenino,Sandals,Calzado,63,Barranquilla,XXL,Verano,3.4,No,Recogida en tienda,100,Nequi,Semanal
5057,26,Masculino,Shirt,Ropa,114,Barranquilla,XS,Otono,3.8,Si,Envio gratuito,58,Transferencia bancaria,Quincenal
5058,63,Masculino,Pants,Ropa,30,Medellin,XS,Invierno,4.7,No,Express,57,Transferencia bancaria,Cada 3 meses
5059,61,Masculino,Shorts,Ropa,91,Manizales,L,Otono,4.0,No,Entrega al dia siguiente,88,Efectivo,Semanal
5060,44,Femenino,Coat,Abrigos,84,Cali,L,Invierno,2.8,Si,Recogida en tienda,27,Efectivo,Mensual
5061,20,Femenino,Shoes,Calzado,67,Medellin,XL,Invierno,2.8,No,Envio estandar,37,Transferencia bancaria,Trimestral
5062,27,Femenino,Jeans,Ropa,59,Bucaramanga,M,Otono,3.7,Si,Express,100,Nequi,Mensual
5063,21,Masculino,Hoodie,Ropa,47,Cali,XXL,Invierno,2.5,No,Envio en 2 dias,5,Efectivo,Mensual
5064,54,Masculino,Shorts,Ropa,77,Bucaramanga,L,Invierno,4.6,Si,Express,64,Efectivo,Mensual
5065,60,Masculino,Coat,Abrigos,113,Bucaramanga,XS,Invierno,3.5,No,Envio gratuito,69,Transferencia bancaria,Semanal
5066,74,Masculino,Sweater,Ropa,55,Villavicencio,XS,Verano,4.3,No,Envio estandar,82,Transferencia bancaria,Semanal
5067,53,Femenino,Gloves,Accesorios,99,Manizales,XL,Primavera,4.9,Si,Entrega al dia siguiente,64,Transferencia bancaria,Anualmente
5068,60,Femenino,Backpack,Accesorios,55,Neiva,S,Verano,4.6,No,Envio en 2 dias,68,Nequi,Cada 3 meses
5069,43,Femenino,Scarf,Accesorios,22,Bucaramanga,L,Verano,3.5,No,Entrega al dia siguiente,32,Transferencia bancaria,Anualmente
5070,24,Femenino,Hoodie,Ropa,38,Cali,M,Primavera,2.9,No,Recogida en tienda,21,Transferencia bancaria,Trimestral
5071,38,Femenino,Backpack,Accesorios,111,Bogota,M,Invierno,2.7,Si,Entrega al dia siguiente,41,Tarjeta de debito,Mensual
5072,70,Femenino,Belt,Accesorios,45,Barranquilla,XL,Verano,3.7,No,Envio en 2 dias,34,Transferencia bancaria,Cada 3 meses
5073,47,Masculino,Blouse,Ropa,81,Bogota,L,Verano,4.8,Si,Envio gratuito,70,Nequi,Semanal
5074,24,Femenino,T-shirt,Ropa,91,Villavicencio,S,Otono,3.9,No,Envio en 2 dias,81,Nequi,Quincenal
5075,68,Femenino,Jeans,Ropa,89,Cali,S,Invierno,4.9,No,Envio en 2 dias,0,Efectivo,Trimestral
5076,36,Femenino,Backpack,Accesorios,27,Santa Marta,M,Otono,4.6,No,Envio gratuito,80,Tarjeta de credito,Trimestral
5077,71,Masculino,Belt,Accesorios,40,Armenia,XL,Primavera,3.3,No,Recogida en tienda,15,Tarjeta de credito,Semanal
5078,53,Masculino,Pants,Ropa,46,Ibague,XL,Otono,4.7,No,Recogida en tienda,33,Efectivo,Cada 3 meses
5079,33,Masculino,Jacket,Abrigos,46,Santa Marta,XL,Otono,2.5,Si,Recogida en tienda,0,Nequi,Mensual
5080,18,Femenino,Socks,Accesorios,42,Pereira,XL,Invierno,4.4,Si,Recogida en tienda,83,Transferencia bancaria,Trimestral
5081,19,Masculino,Socks,Accesorios,35,Bucaramanga,L,Otono,3.5,Si,Envio en 2 dias,59,Tarjeta de debito,Quincenal
5082,46,Femenino,Handbag,Accesorios,115,Bogota,M,Otono,3.0,No,Recogida en tienda,28,Tarjeta de credito,Mensual
5083,41,Femenino,Hat,Accesorios,83,Armenia,XXL,Verano,2.5,No,Envio en 2 dias,35,Nequi,Trimestral
5084,49,Femenino,Shoes,Calzado,44,Villavicencio,XXL,Verano,2.7,Si,Recogida en tienda,8,Tarjeta de credito,Cada 3 meses
5085,54,Femenino,Shirt,Ropa,113,Neiva,M,Verano,4.6,Si,Recogida en tienda,86,Nequi,Trimestral
5086,34,Masculino,Backpack,Accesorios,74,Villavicencio,XXL,Primavera,4.6,No,Entrega al dia siguiente,52,Tarjeta de debito,Anualmente
5087,61,Masculino,Scarf,Accesorios,66,Manizales,XS,Verano,2.6,No,Envio estandar,57,Tarjeta de debito,Anualmente
5088,43,Femenino,Jacket,Abrigos,30,Ibague,XS,Verano,4.9,No,Envio en 2 dias,31,Tarjeta de credito,Quincenal
5089,39,Masculino,Blouse,Ropa,100,Villavicencio,XS,Primavera,3.7,Si,Envio estandar,80,Tarjeta de debito,Cada 3 meses
5090,33,Femenino,Scarf,Accesorios,50,Bucaramanga,XS,Otono,3.8,Si,Envio en 2 dias,99,Nequi,Trimestral
5091,46,Femenino,Sneakers,Calzado,77,Ibague,XS,Primavera,4.9,Si,Entrega al dia siguiente,40,Transferencia bancaria,Quincenal
5092,21,Masculino,Belt,Accesorios,58,Ibague,XXL,Invierno,2.7,Si,Envio estandar,6,Tarjeta de debito,Mensual
5093,43,Femenino,Skirt,Ropa,116,Pereira,S,Primavera,3.6,No,Entrega al dia siguiente,79,Nequi,Anualmente
5094,39,Femenino,Sandals,Calzado,86,Bucaramanga,XL,Verano,2.8,Si,Envio estandar,91,Transferencia bancaria,Trimestral
5095,68,Femenino,Shorts,Ropa,36,Villavicencio,XL,Otono,3.4,No,Recogida en tienda,79,Efectivo,Quincenal
5096,33,Femenino,Belt,Accesorios,27,Cali,M,Invierno,3.8,No,Envio gratuito,74,Nequi,Quincenal
5097,27,Masculino,Hoodie,Ropa,97,Bucaramanga,M,Otono,4.9,Si,Envio en 2 dias,30,Nequi,Trimestral
5098,72,Femenino,Pants,Ropa,64,Barranquilla,S,Verano,4.5,No,Express,85,Efectivo,Semanal
5099,62,Masculino,Skirt,Ropa,108,Bucaramanga,XL,Otono,4.0,No,Envio gratuito,20,Transferencia bancaria,Mensual
5100,74,Femenino,Scarf,Accesorios,48,Bogota,XXL,Verano,4.2,No,Envio estandar,27,Tarjeta de credito,Mensual
5101,65,Masculino,Sweater,Ropa,68,Barranquilla,L,Verano,4.6,Si,Envio gratuito,1,Transferencia bancaria,Cada 3 meses
5102,19,Femenino,Coat,Abrigos,57,Santa Marta,S,Otono,2.6,Si,Express,25,Tarjeta de debito,Quincenal
5103,32,Masculino,Sweater,Ropa,42,Bucaramanga,XL,Verano,2.9,Si,Express,33,Transferencia bancaria,Anualmente
5104,71,Femenino,Jewelry,Accesorios,103,Neiva,XS,Otono,4.8,No,Entrega al dia siguiente,30,Tarjeta de debito,Cada 3 meses
5105,60,Femenino,Shirt,Ropa,99,Pereira,XXL,Primavera,2.8,Si,Express,24,Nequi,Mensual
5106,62,Masculino,Jacket,Abrigos,96,Pereira,XXL,Verano,4.8,Si,Envio estandar,37,Tarjeta de credito,Cada 3 meses
5107,33,Femenino,Sneakers,Calzado,55,Cucuta,S,Invierno,3.0,Si,Entrega al dia siguiente,84,Nequi,Anualmente
5108,28,Masculino,T-shirt,Ropa,102,Neiva,XL,Otono,3.7,No,Express,41,Tarjeta de debito,Trimestral
5109,62,Masculino,Sunglasses,Accesorios,83,Santa Marta,M,Invierno,4.1,Si,Express,28,Tarjeta de credito,Mensual
5110,73,Femenino,Jewelry,Accesorios,47,Cartagena,L,Invierno,3.9,No,Envio gratuito,70,Transferencia bancaria,Quincenal
5111,66,Femenino,Hoodie,Ropa,76,Manizales,M,Verano,4.0,No,Envio estandar,79,Tarjeta de debito,Mensual
5112,46,Masculino,Pants,Ropa,72,Bucaramanga,L,Otono,3.2,Si,Express,56,Tarjeta de credito,Cada 3 meses
5113,59,Femenino,Jeans,Ropa,30,Cartagena,XL,Primavera,4.5,Si,Envio en 2 dias,15,Transferencia bancaria,Cada 3 meses
5114,20,Femenino,Jacket,Abrigos,45,Villavicencio,M,Otono,3.3,No,Express,90,Nequi,Quincenal
5115,72,Masculino,Backpack,Accesorios,118,Cartagena,M,Otono,4.5,No,Entrega al dia siguiente,74,Transferencia bancaria,Mensual
5116,59,Femenino,Jewelry,Accesorios,49,Barranquilla,XXL,Verano,3.7,No,Recogida en tienda,59,Tarjeta de debito,Anualmente
5117,38,Femenino,Pants,Ropa,118,Armenia,L,Verano,3.6,Si,Envio gratuito,17,Nequi,Quincenal
5118,37,Femenino,Scarf,Accesorios,104,Cucuta,M,Otono,3.1,No,Recogida en tienda,96,Efectivo,Semanal
5119,52,Masculino,Jacket,Abrigos,95,Bogota,XL,Primavera,4.8,Si,Envio gratuito,72,Nequi,Trimestral
5120,54,Masculino,Jewelry,Accesorios,46,Pereira,XS,Invierno,3.0,Si,Envio gratuito,72,Efectivo,Semanal
5121,75,Masculino,Blouse,Ropa,41,Medellin,XXL,Verano,2.6,No,Envio en 2 dias,23,Tarjeta de credito,Anualmente
